"ranking","name","%break_points_saved","points_won","total_points","Matches_played.x","%games_won(receive)","games_won_receiving","total_games_receiving","Matches_played.y","%games_won(serve)","games_won_serving","total_games_serving","Matches_played.x.x","Aces_number","Matches_played.y.y","1st_serve_win_%","Points_won","Total_points","Matches_played","Index","Titles","Wins","Losses"
46,"Monfils","61.37%","170","277","46","19.90%","117","588","46","82.02%","488","595","46","407","46","407","46","","","0.733","1",11,4
47,"Jarry",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"357","41","357","41","","","0.375","0",3,5
48,"Kecmanovic","55.42%","179","323","53","19.83%","136","686","53","78.85%","537","681","53","243","53","243","53","","","0.611","1",11,7
49,"Struff","66.45%","200","301","47","18.55%","118","636","47","84.19%","538","639","47","461","47","461","47","","","0.3","0",3,7
50,"Agut","62.20%","181","291","44","21.01%","108","514","44","78.85%","410","520","44","106","44","106","44","","",NA,NA,NA,NA
51,"Bergs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"193","30","193","30","","","0.65","0",13,7
52,"Zhang","55.22%","127","230","52","16.30%","97","595","52","82.60%","489","592","52","373","52","373","52","","","0.308","0",4,9
53,"Baena","59.73%","218","365","51","21.23%","128","603","51","75.66%","457","604","51","145","51","145","51","","","0.385","0",5,8
54,"Mensik",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"428","42","428","42","","","0.571","0",8,6
55,"Goffin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"164","33","164","33","","","0.3","0",3,7
56,"Munar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"125","37","125","37","","","0.583","0",7,5
57,"Halys",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"249","19","249","19","","","0.455","0",5,6
58,"Shang","63.32%","202","319","46","19.45%","114","586","46","79.93%","466","583","46","210","46","210","46","","",NA,NA,NA,NA
59,"Marozsan","56.08%","189","337","50","21.39%","126","589","50","75.21%","449","597","50","228","50","228","50","","","0.533","0",8,7
60,"Fonseca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"68","15","68","15","","","0.636","1",7,4
61,"Darderi","61.54%","208","338","50","21.44%","125","583","50","77.97%","460","590","50","279","50","279","50","","","0.125","0",1,7
62,"Navone",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"101","42","101","42","","","0.467","0",7,8
63,"Bonzi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"58","11","58","11","","","0.4","0",4,6
64,"Nishikori",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31","16","31","16","","","0.538","0",7,6
65,"Carabelli",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"18","8","18","8","","","0.6","0",6,4
66,"Tien",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"47","9","47","9","","","0.545","0",6,5
67,"Comesana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"82","11","82","11","","","0.444","0",4,5
68,"Nishioka",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"80","33","80","33","","","0.636","0",7,4
69,"Yunchaokete",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"96","13","96","13","","","0.308","0",4,9
70,"Dzumhur",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.545","0",6,5
71,"Safiullin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"292","43","292","43","","",NA,NA,NA,NA
72,"Bellucci",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"147","14","147","14","","",NA,NA,NA,NA
73,"Medjedovic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"169","17","169","17","","","0.75","0",6,2
74,"Rinderknech",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"428","42","428","42","","","0.2","0",2,8
75,"Djere",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"171","26","171","26","","","0.889","1",8,1
76,"Moutet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"51","30","51","30","","","0.444","0",4,5
77,"Vukic","62.10%","195","314","47","16.07%","94","585","47","79.45%","460","579","47","423","47","423","47","","","0.364","0",4,7
78,"O'Connell",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"293","39","293","39","","","0.4","0",4,6
79,"Kovacevic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"328","32","328","32","","",NA,NA,NA,NA
80,"Bublik","62.10%","213","343","49","19.52%","115","589","49","78.19%","466","596","49","559","49","559","49","","","0.2","0",2,8
81,"Norrie",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"209","39","209","39","","","0.5","0",7,7
82,"Altmaier",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"201","34","201","34","","","0.5","0",6,6
83,"Fearnley",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"28","5","28","5","","",NA,NA,NA,NA
84,"Nardi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"43","16","43","16","","","0.4","0",4,6
85,"Zandschulp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"169","36","169","36","","","0.333","0",3,6
86,"Hijikata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"155","37","155","37","","","0.364","0",4,7
87,"Diallo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"125","13","125","13","","","0.4","0",4,6
88,"Gaston",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"83","29","83","29","","",NA,NA,NA,NA
89,"Walton",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"75","14","75","14","","",NA,NA,NA,NA
90,"Fucsovics",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"142","29","142","29","","",NA,NA,NA,NA
91,"Collignon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
92,"Faria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.556","0",5,4
93,"Kokkinakis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"285","26","285","26","","",NA,NA,NA,NA
94,"Passaro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"32","5","32","5","","",NA,NA,NA,NA
